Label,From Node,To Node,Length (Scaled) (m),Diameter (mm),Material,Hazen-Williams C,Flow (L/s),Velocity (m/s),Headloss Gradient (m/m)
P-31,J-30,J-23,93,40.0,Steel,130.0,0.7,0.55,0.019
P-157,J-108,J-110,114,398.8,Steel,130.0,115.08,0.92,0.003
P-126,J-110,J-100,178,200.7,Steel,130.0,16.99,0.54,0.003
P-32,J-72,J-20,190,40.0,Steel,130.0,0.83,0.66,0.027
P-55,J-43,J-29,265,76.2,Steel,130.0,1.51,0.33,0.004
P-40,J-107,J-49,284,33.0,Steel,130.0,0.05,0.05,0.0
P-1,J-104,J-46,286,32.0,Steel,130.0,0.07,0.08,0.001
P-113,J-98,J-88,373,149.9,Steel,130.0,14.19,0.8,0.008
P-2,J-81,J-47,378,32.0,Steel,130.0,0.31,0.38,0.013
P-3,J-75,J-39,377,32.0,Steel,130.0,0.31,0.39,0.013
P-4,J-92,J-79,381,32.0,Steel,130.0,0.27,0.34,0.01
P-56,J-67,J-23,380,76.2,Steel,130.0,2.79,0.61,0.011
P-5,J-94,J-83,380,32.0,Steel,130.0,0.27,0.33,0.01
P-6,J-87,J-65,381,32.0,Steel,130.0,0.29,0.36,0.012
P-7,J-44,J-80,482,32.0,Steel,130.0,0.3,0.37,0.012
P-8,J-95,J-85,468,32.0,Steel,130.0,0.14,0.17,0.003
P-9,J-61,J-21,473,32.0,Steel,130.0,0.23,0.29,0.007
P-114,J-71,J-52,489,149.9,Steel,130.0,16.04,0.91,0.01
P-10,J-58,J-27,559,32.0,Steel,130.0,0.2,0.25,0.006
P-11,J-70,J-31,567,32.0,Steel,130.0,0.2,0.25,0.006
P-12,J-81,J-53,642,32.0,Steel,130.0,0.17,0.21,0.004
P-33,J-72,J-03,743,40.0,Steel,130.0,0.63,0.5,0.016
P-34,J-76,J-02,746,40.0,Steel,130.0,0.62,0.5,0.016
P-35,J-84,J-05,749,40.0,Steel,130.0,0.58,0.46,0.014
P-13,J-70,J-10,1023,32.0,Steel,130.0,0.26,0.33,0.009
P-57,J-62,J-15,1124,76.2,Steel,130.0,2.3,0.5,0.008
P-58,J-103,J-105,285,76.2,Steel,130.0,1.51,0.33,0.004
P-158,J-110,J-103,92,398.8,Steel,130.0,96.25,0.77,0.002
P-14,J-100,J-97,95,32.0,Steel,130.0,0.12,0.15,0.002
P-115,J-100,J-96,90,200.7,Steel,130.0,16.88,0.53,0.003
P-59,J-93,J-85,99,76.2,Steel,130.0,2.62,0.57,0.01
P-50,J-85,J-74,95,65.0,Steel,130.0,1.24,0.37,0.005
P-127,J-96,J-93,282,200.7,Steel,130.0,15.68,0.5,0.002
P-96,J-69,J-53,56,124.5,Steel,130.0,8.52,0.7,0.008
P-97,J-53,J-40,156,124.5,Steel,130.0,7.17,0.59,0.006
P-15,J-75,J-40,568,32.0,Steel,130.0,0.2,0.25,0.006
P-98,J-40,J-31,93,124.5,Steel,130.0,5.86,0.48,0.004
P-99,J-31,J-27,97,124.5,Steel,130.0,4.55,0.37,0.002
P-81,J-27,J-21,163,99.1,Steel,130.0,3.24,0.42,0.004
P-36,J-111,J-43,341,40.0,Steel,130.0,0.6,0.48,0.015
P-41,J-68,J-43,65,50.0,Steel,130.0,0.92,0.47,0.011
P-100,J-68,J-60,502,124.5,Steel,130.0,6.72,0.55,0.005
P-60,J-60,J-64,173,76.2,Steel,130.0,1.51,0.33,0.004
P-82,J-60,J-52,65,76.2,Steel,130.0,4.04,0.89,0.022
P-128,J-52,J-50,205,149.9,Steel,130.0,18.57,1.05,0.014
P-101,J-50,J-48,15,124.5,Steel,130.0,9.37,0.77,0.009
P-116,J-50,J-54,108,124.5,Steel,130.0,7.68,0.63,0.007
P-61,J-57,J-56,57,76.2,Steel,130.0,1.51,0.33,0.004
P-88,J-54,J-57,310,99.1,Steel,130.0,4.07,0.53,0.006
P-62,J-57,J-55,165,76.2,Steel,130.0,1.51,0.33,0.004
P-16,J-45,J-35,216,32.0,Steel,130.0,0.29,0.36,0.011
P-63,J-35,J-34,68,76.2,Steel,130.0,1.51,0.33,0.004
P-42,J-57,J-35,86,50.0,Steel,130.0,1.04,0.53,0.014
